harvest v. & n.收获 
haste n.急忙，急速 
hasten v.赶紧，加快 
hasty adj.急促的，草率的 
hat n.帽子 
hatch v.孵化，策划 
hate v.恨，憎恶，不愿意 
hateful adj.可恨的，可憎的 
hatred n.憎恶，敌意 
I pron.我 
ice n.冰，冰块 
ice-cream n.冰淇淋 
ice-bound adj.冰封的 
Iceland n.冰岛 
icy adj.冰冷的，结了冰的 
idea n.思想，主意，打算 
ideal adj.理想的 n.理想 
idealism n.理想主义 
idealize v.使理想化 
identical adj.同一的，相同的 
identification n.识别，身分 
identify v.认出，认为一致 
identity n.认同，同一性 
idiom n.习语，成语 
idiomatic adj.习语的，惯用的 
idiot n.傻子，白痴 
idle adj.空闲的，懒的 
idleness n.闲散，无所事事 
idol n.偶像，被崇拜的人 
i.e.(缩)即，也就是 
if conj.如果，虽然;是否 
ignite v.点燃 
ignorance n.无知，不知道 
ignorant adj.不知道的，无知的 
ignore v.忽视，不理睬 
ill adj.患病的，坏的 
illegal adj.不合法的，非法的 
illegible adj.字迹不清的 
illiteracy n.文盲 
illiterate adj.文盲的 n.文盲 
illness n.疾病，生病 
illuminate v.照亮，启发 
illusion n.幻想，幻觉 
illusive adj.幻觉的 
illustrate v.图解，用图说明 
illustration n.阐明，实例 
image n.图像，影像，形象 
imaginary adj.想象的，虚构的 
imagination n.想象力，想象 
imagine v.想象，猜想 
imitate v.模仿，仿造，模拟 
imitation n.模仿，仿制品 
immaterial adj.无形的，不重要的 
immature adj.不成熟的 
immediate adj.立即的，最近的 
immediately adv.立即，马上 
immense adj.巨大的，极大的 
immerse v.浸泡，埋头于 
immigrant n.移民 
immigrate v.移入 
immigration n.移居入境 
imminent adj.迫切的，危急的 
immoral adj.不道德的 
immortal adj.不朽的 
impact n.冲击，影响 
impart v.给予，告诉 
impartial adj.公证的 
impatience n.不耐烦 
impatient adj.急切的，不耐烦的 
imperative adj.绝对必要的 
imperfect adj.不完善的 
imperialism n.帝国主义 
imperialist n.帝国主义者 
implement v.实行 n.工具 
implementation n.实行，执行 
implication n.暗示，含义 
implied adj.暗含的，暗示的 
implore v.恳求，哀求 
imply v.暗示，意味 
import v.进口，引进 n.进口货 
importance n.重要性，意义 
important adj.重要的，重大的 
importation n.进口 
importer n.进口商 
impose v.征(税)，强加 
imposition n.强迫接受 
impossibility n.不可能性 
impossible adj.不可能的，不妥的 
jack n.千斤顶，船首旗 
jacket n.短外套，茄克衫 
jail n.监狱 v.监禁 
jam n.果酱，阻塞 
January n.一月 
Japan n.日本 
Japanese n. & adj.日本人(的) 
jar n.罐子，坛子，刺耳声 
jaw n.下颚，下巴 
jazz n.爵士乐 
jealousy n.妒忌 
jealous adj.妒忌的 
jeans n.牛仔裤 
jelly n.果冻 
